colision_fecha,colision_calle,colision_cruce,colision_long,colision_lat,colision_tipoincidente,colision_tipoaccidentediverso,indiv_estadoalcoholico,indiv_estatus,indiv_Deceso
2014-12-26T11:00:00Z,AV. PASEO DE LOS LEONES  ,GUILLERMO BAFFIN,-100.390357,25.721426,LATERAL,LATERAL,0,0,0
2014-12-26T12:36:00Z,PABLO GONZALEZ G.,PROL ARAMEBRRI,-100.341339,25.6861,ALCANCE,ALCANCE,0,0,0
2014-12-26T11:00:00Z,AV. MADERO  ,AV. CHURUBUSCO,-100.26816,25.685709,DIVERSO,DIVERSO/BACHE,0,0,0
2014-12-26T09:30:00Z,HIDALGO,PORFIRIO DIAZ,-100.327102,25.669557,CRUCERO,CRUCERO,0,0,0
2014-12-26T12:00:00Z,RUPERTO MARTINEZ,GALEANA,-100.312424,25.676783,LATERAL,LATERAL,0,0,0
2014-12-26T11:30:00Z,AV. REVOLUCION  ,CAMINO AL DIENTE,-100.273889,25.625016,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-26T11:15:00Z,AV. MADERO  ,MIGUEL NIETO,-100.327729,25.685388,CRUCERO,CRUCERO,0,0,0
2014-12-26T07:15:00Z,AV. CONSTITUCION  ,SERAFIN PEÑA,-100.326114,25.666832,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-26T13:36:00Z,AV. MADERO  ,JIMENEZ,-100.316007,25.684044,LATERAL,LATERAL,0,0,0
2014-12-26T15:27:00Z,AV. GARZA SADA  ,BLVD ACAPULCO,-100.285184,25.621522,LATERAL,LATERAL,0,0,0
2014-12-26T17:21:00Z,AV. GARZA SADA  ,DEL PEÑON,-100.257811,25.587526,ALCANCE,ALCANCE,0,0,0
2014-12-26T14:33:00Z,DE LOS ASTROS,LAGO MIL LAGOS,-100.401294,25.77437,DIVERSO,DIVERSO/BACHE,0,0,0
2014-12-26T13:33:00Z,RODRIGO GOMEZ,PALACIO DE JUSTICIA,-100.342179,25.725222,CRUCERO,CRUCERO,0,0,0
2014-12-26T19:56:00Z,AV. RUIZ CORTINES  ,AV. RAUL RANGEL FRIAS,-100.362511,25.714153,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-26T18:35:00Z,AV. MORONES PRIETO  ,MARTIN DE ZAVALA,-100.332855,25.665458,ALCANCE,ALCANCE,0,0,0
2014-12-26T19:06:00Z,AV. CHURUBUSCO  ,AV. LOS ANGELES,-100.268423,25.707259,ALCANCE,ALCANCE,0,0,0
2014-12-26T15:41:00Z,ZARAGOZA,REFORMA,-100.308516,25.684171,CRUCERO,CRUCERO,0,0,0
2014-12-26T17:51:00Z,AV. LINCOLN  ,AV. PUERTA DE HIERRO,-100.410919,25.765287,LATERAL,LATERAL,0,0,0
2014-12-26T19:10:00Z,PASEO DE LOS NAVEGANTES,PEDRO DE URSUA,-100.387356,25.719977,LATERAL,LATERAL,0,0,0
2014-12-26T18:53:00Z,AV. GONZALITOS  ,AV. SAN JERONIMO,-100.352796,25.673269,LATERAL,LATERAL,0,0,0
2014-12-26T16:44:00Z,COLON,FELIX U GOMEZ,-100.296769,25.68401,ALCANCE,ALCANCE,0,0,0
2014-12-26T19:55:00Z,AV. PASEO DE LOS LEONES  ,PASEO DE LOS NAVEGANTES,-100.387605,25.719955,ALCANCE,ALCANCE,0,0,0
2014-12-26T14:11:00Z,AV. PASEO DE LOS LEONES  ,BARCELONA,-100.396554,25.730225,ALCANCE,ALCANCE,0,0,0
2014-12-26T16:30:00Z,RAFAEL NAJERA,LEANDRO MARTINEZ LEZA,-100.283367,25.688133,LATERAL,LATERAL,0,0,0
2014-12-26T15:00:00Z,MATEHUALA,SIMON BOLIVAR,-100.343603,25.696695,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-26T19:00:00Z,JACARANDA,LAUREL,-100.31356,25.701026,VEHICULO ESTACIONADO,VEHICULO ESTACIONADO,0,0,0
2014-12-26T19:17:00Z,AV. REVOLUCION  ,JOSE ALVARADO,-100.282564,25.66029,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-26T14:55:00Z,JUAREZ,PADRE MIER,-100.315246,25.668702,ALCANCE,ALCANCE,0,1,0
2014-12-26T17:47:00Z,ALFONSO REYES,GOLFO DE CALIFORNIA,-100.340402,25.705255,ATROPELLO,ATROPELLO,0,0,0
2014-12-26T16:40:00Z,RODRIGO GOMEZ,GOLFO DE MEXICO,-100.342229,25.70547,REVERSA,REVERSA,0,0,0
2014-12-26T15:29:00Z,AV. VENUSTIANO CARRANZA  ,HIDALGO,-100.333447,25.670279,LATERAL,LATERAL,0,0,0
2014-12-26T19:15:00Z,AV. GARZA SADA  ,AV. MORONES PRIETO,-100.297231,25.666685,DIVERSO,DIVERSO/BACHE,0,0,0
2014-12-26T19:55:00Z,AV. FIDEL VELAZQUEZ  ,AV. BERNARDO REYES,-100.330259,25.722552,ALCANCE,ALCANCE,0,1,0
2014-12-26T18:18:00Z,CARLOS SALAZAR,AMERICA,-100.32883,25.683902,LATERAL,LATERAL,0,0,0
2014-12-26T18:08:00Z,OCAMPO,EMILIO CARRANZA,-100.31346,25.665746,LATERAL,LATERAL,0,0,0
2014-12-26T20:02:00Z,VILLAGOMEZ,REFORMA,-100.320748,25.685728,LATERAL,LATERAL,0,0,0
2014-12-26T16:30:00Z,OCAMPO,JUAREZ,-100.315729,25.666239,ALCANCE,ALCANCE,0,0,0
2014-12-26T17:03:00Z,AV. GARZA SADA  ,PEDRO MARTINEZ,-100.296977,25.66273,ALCANCE,ALCANCE,0,0,0
2014-12-26T21:17:00Z,AV. REVOLUCION  ,COCOYOC,-100.272722,25.634487,LATERAL,LATERAL,0,0,0
2014-12-26T21:17:00Z,AV. REVOLUCION  ,COCOYOC,-100.272691,25.634267,LATERAL,LATERAL,0,0,0
2014-12-26T17:31:00Z,HIDALGO,20 DE NOVIEMBRE,-100.335982,25.670199,LATERAL,LATERAL,0,0,0
2014-12-26T21:29:00Z,AV. CONSTITUCION  ,FTE CONDOMINIOS CONSTITUCION,-100.29927,25.668928,ALCANCE,ALCANCE,0,0,0
2014-12-26T18:57:00Z,INSURGENTES,PUERTA DEL SOL,-100.359477,25.680484,ATROPELLO,ATROPELLO,0,1,0
2014-12-26T19:51:00Z,PINO SUAREZ,COLON,-100.317922,25.686122,CRUCERO,CRUCERO,0,0,0
2014-12-26T21:46:00Z,FUNDIDORA,ISAAC GARZA,-100.289954,25.677976,LATERAL,LATERAL,0,0,0
2014-12-26T02:18:00Z,AV. MADERO  ,ZARAGOZA,-100.30838,25.683278,CRUCERO,CRUCERO,0,0,0
2014-12-26T03:11:00Z,GUADALUPE,PASEO DE LOS MISTERIOS,-100.272958,25.605227,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-26T22:49:00Z,DR ROBERTO CANTU,DR ENRIQUE PEÑA,-100.35253,25.668573,CRUCERO,CRUCERO,0,0,0
2014-12-26T02:16:00Z,ROGELIO CANTU GOMEZ,ANILLO PERIFERICO,-100.380153,25.695774,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-26T00:31:00Z,PRIV MELCHOR MUZQUIZ,EDISON,-100.332242,25.692546,VEHICULO ESTACIONADO,VEHICULO ESTACIONADO,0,0,0
2014-12-26T21:38:00Z,DIAZ ORDAZ,SANTA BARBARA,-100.382168,25.671182,LATERAL,LATERAL,0,0,0
2014-12-26T02:44:00Z,HECTOR,CIRO,-100.385593,25.711508,VEHICULO ESTACIONADO,VEHICULO ESTACIONADO,0,0,0
2014-12-26T21:33:00Z,AV. RUIZ CORTINES  ,NUEVA INGLATERRA,-100.357409,25.709145,LATERAL,LATERAL,0,0,0
2014-12-26T02:20:00Z,AV. MADERO  ,PABLO A DE LA GARZA,-100.287408,25.682312,LATERAL,LATERAL,0,0,0
2014-12-26T23:44:00Z,PABLO GONZALEZ G.,SAN JERONIMO,-100.364085,25.675388,CRUCERO,CRUCERO,0,2,0
2014-12-26T19:17:00Z,ALFONSO REYES,FRESADOR,-100.299464,25.63357,ALCANCE,ALCANCE,0,0,0
2014-12-27T02:37:00Z,AV. BERNARDO REYES  ,LUIS MORA,-100.32534,25.69823,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-27T07:32:00Z,SOLDADORES,CARTAGENA,-100.295477,25.631566,OBJETO FIJO,OBJETO FIJO,0,0,0
2014-12-27T10:01:00Z,LOS ANGELES,GUERRERO,-100.30785,25.717345,CRUCERO,CRUCERO,0,0,0
2014-12-27T12:31:00Z,AV. RUIZ CORTINES  ,AV. SAN NICOLAS,-100.299735,25.704216,ALCANCE,ALCANCE,0,0,0
2014-12-27T10:45:00Z,AV. LINCOLN  ,AGUATURMA,-100.379765,25.74054,LATERAL,LATERAL,0,0,0
2014-12-27T09:50:00Z,AV. BERNARDO REYES  ,ROMULO DIAZ DE LA VEGA,-100.326873,25.708056,ALCANCE,ALCANCE,0,0,0
2014-12-27T11:54:00Z,SANTOS CANTU SALINAS,RIO NAZAS,-100.302916,25.642413,LATERAL,LATERAL,0,0,0
2014-12-27T11:01:00Z,PINO SUAREZ,JUAN I RAMON,-100.319964,25.67155,LATERAL,LATERAL,0,0,0
2014-12-27T06:07:00Z,SAN JOSE,ZAPOPAN,-100.373,25.71697,VOLCADURA,VOLCADURA,0,0,0
2014-12-27T10:04:00Z,CORNELIO ZARATE,EDISON,-100.333001,25.704043,LATERAL,LATERAL,0,0,0
2014-12-27T12:13:00Z,LOS ANGELES,AV SAN NICOLAS,-100.296257,25.712656,ATROPELLO,ATROPELLO,0,0,0
